Id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
2671,Air India,9/05/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,07:00,01:20 10 May,18h 20m,2 stops,No info,13033
2672,Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → JDH → DEL,08:55,15:55,7h,2 stops,In-flight meal not included,11245
2673,Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,10056
2674,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 07 Jun,18h,1 stop,In-flight meal not included,10539
2675,IndiGo,18/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:25 19 Mar,2h 20m,non-stop,No info,5277
2676,Air India,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,23:15,13h 15m,1 stop,No info,11936
2677,Jet Airways,9/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,04:25 10 Jun,22h 55m,2 stops,No info,13014
2678,Vistara,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 07 Jun,27h 20m,1 stop,No info,8820
2679,Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,15:00,12:35 10 May,21h 35m,1 stop,In-flight meal not included,12373
2680,Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,09:00,12:35 02 Jun,27h 35m,1 stop,In-flight meal not included,10262
2681,Jet Airways,3/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4995
2682,Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:45 28 Mar,21h 55m,1 stop,In-flight meal not included,7438
2683,IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,4148
2684,IndiGo,27/05/2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,non-stop,No info,3597
2685,Air Asia,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,5192
2686,Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:00,20:20,12h 20m,1 stop,No info,16736
2687,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7933
2688,Air India,18/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,8879
2689,IndiGo,12/05/2019,Delhi,Cochin,DEL → COK,14:25,17:40,3h 15m,non-stop,No info,5000
2690,Vistara,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:05 07 May,16h 5m,1 stop,No info,8137
2691,Air India,9/03/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 10 Mar,26h 20m,2 stops,No info,22096
2692,SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No check-in baggage included,4273
2693,Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,00:45 02 Mar,6h 5m,1 stop,No info,35185
2694,IndiGo,15/04/2019,Kolkata,Banglore,CCU → BBI → BLR,19:35,23:15,3h 40m,1 stop,No info,4226
2695,Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,16:20,7h 55m,1 stop,In-flight meal not included,10844
2696,IndiGo,12/06/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754
2697,IndiGo,6/06/2019,Kolkata,Banglore,CCU → VTZ → BLR,10:30,16:05,5h 35m,1 stop,No info,6301
2698,Air India,18/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,09:25,13:45 19 May,28h 20m,2 stops,No info,13222
2699,Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 22 May,19h 5m,1 stop,In-flight meal not included,12898
2700,Air India,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,06:45,20:35,13h 50m,1 stop,No info,12127
2701,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 22 May,25h 40m,1 stop,No info,13067
2702,Air India,1/04/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,20:25 02 Apr,27h 40m,2 stops,No info,9920
2703,GoAir,1/04/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,4239
2704,Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 07 Jun,21h 10m,1 stop,No info,14714
