Id,Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
8013,Air India,9/04/2019,Delhi,Cochin,DEL → COK,14:05,17:55,3h 50m,non-stop,No info,6724
8014,Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 25 Jun,20h 10m,1 stop,In-flight meal not included,10262
8015,Vistara,21/05/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
8016,IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,11:55,21:20,9h 25m,2 stops,No info,6610
8017,SpiceJet,15/05/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3597
8018,IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,10:10,12:55,2h 45m,non-stop,No info,4462
8019,Air India,6/03/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 07 Mar,27h 20m,1 stop,No info,12677
8020,Multiple carriers,1/03/2019,Delhi,Cochin,DEL → BOM → COK,00:20,15:30,15h 10m,1 stop,No info,23170
8021,IndiGo,6/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,4804
8022,Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,12:50,01:30 28 May,12h 40m,1 stop,No info,6795
8023,Air India,18/05/2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 19 May,25h 15m,1 stop,No info,7662
8024,Air India,6/06/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,07:40 07 Jun,18h 20m,2 stops,No info,12751
8025,Jet Airways,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,20:45,16:50 07 Mar,20h 5m,1 stop,No info,19595
8026,Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,7975
8027,Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,No info,14781
8028,Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1 stop,No info,14781
8029,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,16:20 25 Mar,26h 25m,1 stop,In-flight meal not included,10031
8030,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,10844
8031,Jet Airways,9/05/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,In-flight meal not included,3502
8032,Jet Airways,1/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,04:25 02 Jun,18h 50m,2 stops,No info,13292
8033,Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,23:35 07 Jun,27h 10m,1 stop,No info,14151
8034,SpiceJet,1/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No info,12475
8035,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 04 Jun,15h 40m,1 stop,No info,14714
8036,Multiple carriers,24/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 25 May,6h 30m,1 stop,No info,8283
8037,Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,09:30 13 Mar,12h 55m,1 stop,In-flight meal not included,11087
8038,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,19:50,5h 45m,1 stop,In-flight meal not included,10844
8039,IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 25 Jun,6h 55m,1 stop,No info,5883
8040,Air India,15/03/2019,Banglore,New Delhi,BLR → CCU → BBI → DEL,05:50,16:20,10h 30m,2 stops,No info,7664
8041,Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,04:25 28 May,20h 25m,1 stop,In-flight meal not included,12898
8042,Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 13 Jun,20h 10m,1 stop,In-flight meal not included,10262
8043,Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,19:10,9h 35m,1 stop,No info,13067
8044,IndiGo,18/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,4462
8045,Jet Airways,27/06/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,No info,5678
8046,Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,No info,14388
8047,Jet Airways,3/06/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 04 Jun,16h 50m,1 stop,No info,14714
8048,IndiGo,27/05/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4804
8049,Air India,9/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,07:40 10 May,26h 40m,2 stops,No info,11281
8050,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:10 25 Mar,11h,1 stop,In-flight meal not included,11134
8051,Air India,12/03/2019,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,19:40,09:10 13 Mar,13h 30m,2 stops,No info,11647
8052,Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 10 Jun,28h 5m,1 stop,In-flight meal not included,10539
8053,Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,12192
8054,Air India,24/04/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6121
8055,Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,04:45 25 Mar,9h,1 stop,No info,13759
8056,Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,10:20,01:35 28 Mar,15h 15m,1 stop,No info,6427
8057,IndiGo,9/04/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 10 Apr,2h 50m,non-stop,No info,3943
8058,IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,22:10,01:00 13 May,2h 50m,non-stop,No info,4284
8059,IndiGo,9/03/2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1 stop,No info,8147
